Ay,Ax,B,ux,uy,phi,t
0,-10,-3,0,0,0,9.19999729376286E-06
0,-10,-2,0,0,0,3.49999754689634E-06
0,-10,-1,0,0,0,2.00000067707151E-06
0,-10,0,0,0,0,1.30000989884138E-06
0,-10,1,0,0,0,1.6999983927235E-06
0,-10,2,0,0,0,1.30000989884138E-06
0,-10,3,0,0,0,1.29999534692615E-06
0.5,-10,-3,-0.000227687646753327,0.0202431697738159,0,0.00015029999485705
0.5,-10,-2,-0.000227687646753327,0.0202431697738159,0,8.45000031404197E-05
0.5,-10,-1,-0.000227687646753327,0.0202431697738159,0,7.98999972175807E-05
0.5,-10,0,-0.000227687646753327,0.0202431697738159,0,7.85000011092052E-05
0.5,-10,1,-0.000227687646753327,0.0202431697738159,0,7.79999973019585E-05
0.5,-10,2,-0.000227687646753327,0.0202431697738159,0,7.77999957790598E-05
0.5,-10,3,-0.000227687646753327,0.0202431697738159,0,8.30000062705949E-05
1,-10,-3,-0.000909256542949444,0.0404454574686463,0,8.09000048320741E-05
1,-10,-2,-0.000909256542949444,0.0404454574686463,0,9.0199988335371E-05
1,-10,-1,-0.000909256542949444,0.0404454574686463,0,9.12000105017796E-05
1,-10,0,-0.000909256542949444,0.0404454574686463,0,7.34000059310347E-05
1,-10,1,-0.000909256542949444,0.0404454574686463,0,7.0100009907037E-05
1,-10,2,-0.000909256542949444,0.0404454574686463,0,6.97999930707738E-05
1,-10,3,-0.000909256542949444,0.0404454574686463,0,6.9200003053993E-05
2,-10,-3,-0.00361337000519957,0.0805668018886488,0,7.1699992986396E-05
2,-10,-2,-0.00361337000519957,0.0805668018886488,0,7.03999976394698E-05
2,-10,-1,-0.00361337000519957,0.0805668018886488,0,6.90999877406284E-05
2,-10,0,-0.00361337000519957,0.0805668018886488,0,6.93999900249764E-05
2,-10,1,-0.00361337000519957,0.0805668018886488,0,6.90000015310943E-05
2,-10,2,-0.00361337000519957,0.0805668018886488,0,6.92999892635271E-05
2,-10,3,-0.00361337000519957,0.0805668018886488,0,6.84000115143135E-05
3,-10,-3,-0.00804330662212892,0.120055225369055,0,6.94000045768917E-05
3,-10,-2,-0.00804330662212892,0.120055225369055,0,6.8299996200949E-05
3,-10,-1,-0.00804330662212892,0.120055225369055,0,6.81999954394996E-05
3,-10,0,-0.00804330662212892,0.120055225369055,0,6.8900000769645E-05
3,-10,1,-0.00804330662212892,0.120055225369055,0,6.77999923937023E-05
3,-10,2,-0.00804330662212892,0.120055225369055,0,6.8599998485297E-05
3,-10,3,-0.00804330662212892,0.120055225369055,0,6.84999977238476E-05
4,-10,-3,-0.0140901338110262,0.158630731540375,0,6.84000115143135E-05
4,-10,-2,-0.0140901338110262,0.158630731540375,0,6.81999954394996E-05
4,-10,-1,-0.0140901338110262,0.158630731540375,0,6.83000107528642E-05
4,-10,0,-0.0140901338110262,0.158630731540375,0,6.88000000081956E-05
4,-10,1,-0.0140901338110262,0.158630731540375,0,6.81999954394996E-05
4,-10,2,-0.0140901338110262,0.158630731540375,0,6.79999939166009E-05
4,-10,3,-0.0140901338110262,0.158630731540375,0,6.80000084685162E-05
5,-10,-3,-0.0216131582722817,0.196052432475612,0,7.27000006008893E-05
5,-10,-2,-0.0216131582722817,0.196052432475612,0,7.28000013623387E-05
5,-10,-1,-0.0216131582722817,0.196052432475612,0,8.38999985717237E-05
5,-10,0,-0.0216131582722817,0.196052432475612,0,7.44999997550622E-05
5,-10,1,-0.0216131582722817,0.196052432475612,0,7.32999906176701E-05
5,-10,2,-0.0216131582722817,0.196052432475612,0,7.34999921405688E-05
5,-10,3,-0.0216131582722817,0.196052432475612,0,7.41999974707142E-05
6,-10,-3,-0.0304495159559137,0.232124870917994,0,7.55999935790896E-05
6,-10,-2,-0.0304495159559137,0.232124870917994,0,7.43000127840787E-05
6,-10,-1,-0.0304495159559137,0.232124870917994,0,7.38999951863661E-05
6,-10,0,-0.0304495159559137,0.232124870917994,0,7.33000051695854E-05
6,-10,1,-0.0304495159559137,0.232124870917994,0,7.3200004408136E-05
6,-10,2,-0.0304495159559137,0.232124870917994,0,7.38999951863661E-05
6,-10,3,-0.0304495159559137,0.232124870917994,0,7.2900002123788E-05
7,-10,-3,-0.0404239725987347,0.266700305806085,0,7.28999875718728E-05
7,-10,-2,-0.0404239725987347,0.266700305806085,0,7.29999883333221E-05
7,-10,-1,-0.0404239725987347,0.266700305806085,0,7.30999890947714E-05
7,-10,0,-0.0404239725987347,0.266700305806085,0,7.2900002123788E-05
7,-10,1,-0.0404239725987347,0.266700305806085,0,7.31999898562208E-05
7,-10,2,-0.0404239725987347,0.266700305806085,0,7.31999898562208E-05
7,-10,3,-0.0404239725987347,0.266700305806085,0,7.33999913791195E-05
8,-10,-3,-0.0513579027045786,0.299677477795761,0,7.29999883333221E-05
8,-10,-2,-0.0513579027045786,0.299677477795761,0,7.31999898562208E-05
8,-10,-1,-0.0513579027045786,0.299677477795761,0,7.3500006692484E-05
8,-10,0,-0.0513579027045786,0.299677477795761,0,7.34000059310347E-05
8,-10,1,-0.0513579027045786,0.299677477795761,0,7.27000006008893E-05
8,-10,2,-0.0513579027045786,0.299677477795761,0,7.23999983165413E-05
8,-10,3,-0.0513579027045786,0.299677477795761,0,7.31000036466867E-05
9,-10,-3,-0.0630767607860293,0.330997721538374,0,7.28999875718728E-05
9,-10,-2,-0.0630767607860293,0.330997721538374,0,9.33000119403005E-05
9,-10,-1,-0.0630767607860293,0.330997721538374,0,8.46999901114032E-05
9,-10,0,-0.0630767607860293,0.330997721538374,0,8.31999932415783E-05
9,-10,1,-0.0630767607860293,0.330997721538374,0,8.44000023789704E-05
9,-10,2,-0.0630767607860293,0.330997721538374,0,8.31000070320442E-05
9,-10,3,-0.0630767607860293,0.330997721538374,0,7.46000005165115E-05
10,-10,-3,-0.0754157272865636,0.360639400500907,0,7.33000051695854E-05
10,-10,-2,-0.0754157272865636,0.360639400500907,0,7.28000013623387E-05
10,-10,-1,-0.0754157272865636,0.360639400500907,0,7.30000028852373E-05
10,-10,0,-0.0754157272865636,0.360639400500907,0,7.2900002123788E-05
10,-10,1,-0.0754157272865636,0.360639400500907,0,7.3200004408136E-05
10,-10,2,-0.0754157272865636,0.360639400500907,0,7.2900002123788E-05
10,-10,3,-0.0754157272865636,0.360639400500907,0,7.27999868104234E-05
12,-10,-3,-0.101364567514384,0.414947521957311,0,7.76999950176105E-05
12,-10,-2,-0.101364567514384,0.414947521957311,0,7.78000103309751E-05
12,-10,-1,-0.101364567514384,0.414947521957311,0,7.71000050008297E-05
12,-10,0,-0.101364567514384,0.414947521957311,0,7.77999957790598E-05
12,-10,1,-0.101364567514384,0.414947521957311,0,7.80999980634078E-05
12,-10,2,-0.101364567514384,0.414947521957311,0,7.77999957790598E-05
12,-10,3,-0.101364567514384,0.414947521957311,0,7.81999988248572E-05
14,-10,-3,-0.128186798585373,0.46293021301499,0,0.000165599994943477
14,-10,-2,-0.128186798585373,0.46293021301499,0,7.86000018706545E-05
14,-10,-1,-0.128186798585373,0.46293021301499,0,7.79999973019585E-05
14,-10,0,-0.128186798585373,0.46293021301499,0,7.74000072851777E-05
14,-10,1,-0.128186798585373,0.46293021301499,0,8.55999969644472E-05
14,-10,2,-0.128186798585373,0.46293021301499,0,7.73000065237284E-05
14,-10,3,-0.128186798585373,0.46293021301499,0,7.65000004321337E-05
16,-10,-3,-0.155121912574022,0.505130314743252,0,7.70000042393804E-05
16,-10,-2,-0.155121912574022,0.505130314743252,0,7.68000027164817E-05
16,-10,-1,-0.155121912574022,0.505130314743252,0,8.00000125309452E-05
16,-10,0,-0.155121912574022,0.505130314743252,0,7.79999973019585E-05
16,-10,1,-0.155121912574022,0.505130314743252,0,7.71000050008297E-05
16,-10,2,-0.155121912574022,0.505130314743252,0,7.6600001193583E-05
16,-10,3,-0.155121912574022,0.505130314743252,0,7.78999965405092E-05
18,-10,-3,-0.181637075451823,0.542175901930905,0,7.70000042393804E-05
18,-10,-2,-0.181637075451823,0.542175901930905,0,7.67000019550324E-05
18,-10,-1,-0.181637075451823,0.542175901930905,0,7.75999942561612E-05
18,-10,0,-0.181637075451823,0.542175901930905,0,7.71000050008297E-05
18,-10,1,-0.181637075451823,0.542175901930905,0,7.77999957790598E-05
18,-10,2,-0.181637075451823,0.542175901930905,0,7.65000004321337E-05
18,-10,3,-0.181637075451823,0.542175901930905,0,9.29000088945031E-05
20,-10,-3,-0.207381220437954,0.574699248475219,0,8.83000029716641E-05
20,-10,-2,-0.207381220437954,0.574699248475219,0,8.99000006029382E-05
20,-10,-1,-0.207381220437954,0.574699248475219,0,9.11999959498644E-05
20,-10,0,-0.207381220437954,0.574699248475219,0,8.89000075403601E-05
20,-10,1,-0.207381220437954,0.574699248475219,0,9.02000028872863E-05
20,-10,2,-0.207381220437954,0.574699248475219,0,9.00000013643876E-05
20,-10,3,-0.207381220437954,0.574699248475219,0,8.99000006029382E-05
0,-5,-3,0,0,0,2.5000044843182E-06
0,-5,-2,0,0,0,1.59999763127416E-06
0,-5,-1,0,0,0,7.99998815637082E-06
0,-5,0,0,0,0,1.49999686982483E-06
0,-5,1,0,0,0,1.20000913739204E-06
0,-5,2,0,0,0,1.20000913739204E-06
0,-5,3,0,0,0,1.19999458547682E-06
0.5,-5,-3,-0.000227687646753327,0.0202431697738159,0,8.04000010248274E-05
0.5,-5,-2,-0.000227687646753327,0.0202431697738159,0,7.82999995863065E-05
0.5,-5,-1,-0.000227687646753327,0.0202431697738159,0,7.80999980634078E-05
0.5,-5,0,-0.000227687646753327,0.0202431697738159,0,7.88999896030873E-05
0.5,-5,1,-0.000227687646753327,0.0202431697738159,0,7.85999873187393E-05
0.5,-5,2,-0.000227687646753327,0.0202431697738159,0,6.9800007622689E-05
0.5,-5,3,-0.000227687646753327,0.0202431697738159,0,6.8599998485297E-05
1,-5,-3,-0.000909256542949444,0.0404454574686463,0,6.8900000769645E-05
1,-5,-2,-0.000909256542949444,0.0404454574686463,0,6.76999916322529E-05
1,-5,-1,-0.000909256542949444,0.0404454574686463,0,6.77000061841682E-05
1,-5,0,-0.000909256542949444,0.0404454574686463,0,6.81000092299655E-05
1,-5,1,-0.000909256542949444,0.0404454574686463,0,6.75000046612695E-05
1,-5,2,-0.000909256542949444,0.0404454574686463,0,6.76000054227188E-05
1,-5,3,-0.000909256542949444,0.0404454574686463,0,6.74999901093543E-05
2,-5,-3,-0.00361337000519957,0.0805668018886488,0,6.81999954394996E-05
2,-5,-2,-0.00361337000519957,0.0805668018886488,0,0.000146400008816272
2,-5,-1,-0.00361337000519957,0.0805668018886488,0,0.000188499994692393
2,-5,0,-0.00361337000519957,0.0805668018886488,0,0.000551300006918609
2,-5,1,-0.00361337000519957,0.0805668018886488,0,0.000101700003142469
2,-5,2,-0.00361337000519957,0.0805668018886488,0,9.26000066101551E-05
2,-5,3,-0.00361337000519957,0.0805668018886488,0,9.52999980654568E-05
3,-5,-3,-0.00804330662212892,0.120055225369055,0,8.69999930728227E-05
3,-5,-2,-0.00804330662212892,0.120055225369055,0,0.000134200003230944
3,-5,-1,-0.00804330662212892,0.120055225369055,0,0.00010659999679774
3,-5,0,-0.00804330662212892,0.120055225369055,0,0.000124099999084137
3,-5,1,-0.00804330662212892,0.120055225369055,0,0.000105899991467595
3,-5,2,-0.00804330662212892,0.120055225369055,0,0.000102400008472614
3,-5,3,-0.00804330662212892,0.120055225369055,0,0.000143100012792274
4,-5,-3,-0.0140901338110262,0.158630731540375,0,0.000102200006949715
4,-5,-2,-0.0140901338110262,0.158630731540375,0,9.98999894363806E-05
4,-5,-1,-0.0140901338110262,0.158630731540375,0,9.75000002654269E-05
4,-5,0,-0.0140901338110262,0.158630731540375,0,9.54999995883554E-05
4,-5,1,-0.0140901338110262,0.158630731540375,0,9.40000027185306E-05
4,-5,2,-0.0140901338110262,0.158630731540375,0,9.76000010268763E-05
4,-5,3,-0.0140901338110262,0.158630731540375,0,0.000126000013551675
5,-5,-3,-0.0216131582722817,0.196052432475612,0,0.000100999997812323
5,-5,-2,-0.0216131582722817,0.196052432475612,0,0.000105600003735162
5,-5,-1,-0.0216131582722817,0.196052432475612,0,9.70999972196296E-05
