Ay,Ax,B,ux,uy,phi,t
0,-10,-3,-0.0001719344,0.000482292,0.000552183,37.354
0,-10,-2,-0.0001718612,0.000320898,0.000368114,36.716
0,-10,-1,-0.0001718288,0.0001601604,0.000184058,41.996
0,-10,0,-0.0001718356,-0.000000258,0.000000005,34.141
0.5,-10,0,-0.001108244,0.039112,0.0000929,40.232
1,-10,0,-0.003878188,0.077751,0.0002241,41.445
2,-10,0,-0.01444716,0.152125,0.0007415,61.033
3,-10,0,-0.0304628,0.220572,0.0017816,49.207
4,-10,0,-0.0504368,0.282471,0.0035064,46.061
5,-10,0,-0.0728388,0.33738,0.0059921,100.597
10,-10,0,-0.1957380,0.532704,0.031006,87.991
20,-10,0,-0.435532,0.729727,0.150077,77.515
0,-5,0,-8.5907e-05,-8.49e-08,3.22e-09,19.771
5,-5,0,-0.038160,0.247605,0.00237,39.051
10,-5,0,-0.119552,0.428132,0.01279,41.943
20,-5,0,-0.292230,0.633436,0.06369,50.764
0,0,0,0,0,0,32.172
0.5,0,0,-0.000243,0.02006,0.000048,39.484
1,0,0,-0.000970,0.04007,0.000102,33.425
5,0,0,-0.022846,0.19327,0.00125,40.256
10,0,0,-0.078427,0.35238,0.00645,37.263
20,0,0,-0.215222,0.55987,0.03459,64.175
0,1,0,1.7179e-05,1.18e-08,-5.8e-10,30.508
5,1,0,-0.020871,0.185023,0.00113,35.800
10,1,0,-0.072600,0.339882,0.00573,39.414
20,1,0,-0.203243,0.546567,0.03094,42.370
0,10,0,0.0001717,7.85e-08,-6.45e-09,35.955
5,10,0,-0.010497,0.133297,0.00057,38.620
10,10,0,-0.039696,0.255562,0.00243,42.672
20,10,0,-0.127222,0.445468,0.01311,45.041
